nconst	name	birthYear	deathYear
nm0077012	Carl Bernstein	1944	
nm0077052	Gregory Bernstein	1955	
nm0077066	Jacob Bernstein	1978	
nm0077110	Nancy Bernstein	1960	2015
nm0077136	Sara Bernstein	1973	
nm0077284	Stephen Berra	1973	
nm0077365	Gillian Berrie	1967	
nm0077397	Elizabeth Berrington	1970	
nm0077533	Dennis Berry	1944	2021
nm0077670	Sarah Berry	1960	
nm0077681	Sudesh Berry	1960	
nm0077720	Michael Berryman	1948	
nm0077724	Ross Berryman	1954	
nm0077944	Anders W. Berthelsen	1969	
nm0078046	Dehl Berti	1921	1991
nm0078517	Gene Bervoets	1956	
nm0078704	Éric Besnard	1964	
nm0078712	Dominique Besnehard	1954	
nm0078760	Agustina Bessa-Luís	1922	2019
nm0078897	Ben Best	1974	2021
nm0078925	Eve Best	1971	
nm0078984	Peter Best	1943	
nm0079074	Steve Beswick	1952	
nm0079273	Paul Bettany	1971	
nm0079302	Eugénia Bettencourt	1945	
nm0079353	Val Bettin	1923	2021
nm0079374	Angela Bettis	1973	
nm0079405	Marc Betton	1945	2015
nm0079471	Jonathan R. Betuel	1949	
nm0079651	Daisy Bevan	1992	
nm0079677	Tim Bevan	1957	
nm0079846	Nathan Bexton	1977	
nm0079876	Beyaz	1969	
nm0079879	Kent Beyda	1953	
nm0080049	Yasiin Bey	1973	
nm0080120	Thomas Bezucha	1964	
nm0080149	Jaya Bachchan	1948	
nm0080150	Rita Bhaduri	1955	2018
nm0080157	Devika Bhagat	1979	
nm0080180	Bhagyaraj	1953	
nm0080181	Bhagyashree Patwardhan	1969	
nm0080220	Sanjay Leela Bhansali	1963	
nm0080228	Bhanupriya	1967	
nm0080232	Nitish Bharadwaj	1963	
nm0080235	Vishal Bhardwaj	1965	
nm0080238	Tanikella Bharani	1954	
nm0080245	Bharathan	1947	1998
nm0080248	Santhana Bharathi	1970	
nm0080249	Bharati Devi	1922	2011
nm0080251	Divya Bharti	1974	1993
nm0080276	Sanjeev Bhaskar	1963	
nm0080299	Vanraj Bhatia	1927	2021
nm0080315	Mahesh Bhatt	1948	
nm0080324	Pooja Bhatt	1972	
nm0080333	Vikram Bhatt	1969	
nm0080349	Dibyendu Bhattacharya	1975	
nm0080377	Jaspal Bhatti	1955	2012
nm0080385	Ashwini Bhave	1972	
nm0080405	Bhimsain	1936	2018
nm0080427	Asha Bhosle	1933	
nm0080432	Sachin Bhowmick	1930	2011
nm0080445	Bharat Bhushan	1920	1992
nm0080490	Peter Biagi	1963	
nm0080588	Bruno Bianchi	1955	2011
nm0080657	Rosa María Bianchi	1948	
nm0080917	Heinz Bibo	1927	2012
nm0080966	Bruno Bichir	1967	
nm0081004	Steve Bickel	1950	2015
nm0081046	Laura Bickford	1962	
nm0081081	Jenny Bicks	1963	
nm0081132	Adam Biddle	1967	
nm0081133	Adrienne Biddle	1971	
nm0081175	Jean-Luc Bideau	1940	
nm0081179	Thomas Bidegain	1968	
nm0081182	Joe Biden	1942	
nm0081189	Ann Biderman	1951	
nm0081229	Ishwar Bidri	1933	2020
nm0081273	Kim Bieber	1970	
nm0081329	Christian Biegalski	1949	2007
nm0081433	Fabián Bielinsky	1959	2006
nm0081540	Susanne Bier	1960	
nm0081572	Craig Bierko	1964	
nm0081723	Luca Bigazzi	1958	
nm0081794	W. Watts Biggers	1927	2013
nm0082027	Sangeeta Bijlani	1960	
nm0082162	Jill Bilcock	1948	
nm0082211	Haluk Bilginer	1954	
nm0082212	Bülent Bilgiç	1954	
nm0082300	Tony Bill	1940	
nm0082392	François Billetdoux	1927	1991
nm0082450	Paul Feig	1962	
nm0082507	Beau Billingslea	1944	
nm0082517	John Billingsley	1960	
nm0082526	Peter Billingsley	1971	
nm0082659	Edward Bilous	1957	
nm0082677	Danny Bilson	1956	
nm0082732	Bin Bin	1979	
nm0082748	Charles Binamé	1949	
nm0082753	Valerio Binasco	1964	
nm0082759	Maeve Binchy	1940	2012
nm0082788	John Binder	1940	
nm0082802	Mike Binder	1958	
nm0082835	S.R. Bindler	1970	
nm0082848	Bindu Desai	1951	
nm0082893	Steve Bing	1965	2020
nm0082994	Joe Bini	1963	
nm0083035	Gary Binkow	1962	
nm0083238	Birbal	1938	
nm0083340	Andrew Bird	1956	
nm0083348	Brad Bird	1957	
nm0083555	Anders Birkeland	1953	
nm0083560	Thøger Birkeland	1922	2011
nm0083564	Lauren Birkell	1976	
nm0083605	David Birkin	1977	
nm0083655	Gil Birmingham	1953	
nm0083795	Eva Birthistle	1974	
nm0083838	Roberto Bisacco	1939	2022
nm0084090	John Bishop	1929	2006
nm0084107	Kevin Bishop	1980	
nm0084114	Larry Bishop	1948	
nm0084140	Meredith Bishop	1976	
nm0084225	Thor Bishopric	1963	
nm0084244	Sergio Bizzio	1956	
nm0084304	Jim Bissell	1951	
nm0084312	Robin Bissell	1968	
nm0084334	Buzz Bissinger	1954	
nm0084347	Joaquín Bissner	1962	
nm0084360	Jean-Pierre Bisson	1944	1995
nm0084370	Yannick Bisson	1969	
nm0084426	Danielle Bisutti	1976	
nm0084443	Seema Biswas	1965	
nm0084483	Joseph Bitonti	1958	
nm0084646	Emerson Bixby	1963	
nm0084695	Peter Biziou	1944	
nm0084810	Håkan Bjerking	1957	
nm0084812	Trond Bjerknes	1958	
nm0084831	Oliver Bjerrehuus	1975	
nm0084950	Irina Björklund	1973	
nm0085063	Michelle Bjørn-Andersen	1954	
nm0085212	Cathal Black	1952	
nm0085227	Claudia Black	1972	
nm0085257	Dustin Lance Black	1974	
nm0085312	Jack Black	1969	
nm0085316	James Black	1962	
nm0085359	Jordan Black	1970	
nm0085400	Lewis Black	1948	
nm0085405	Louis Black	1950	
nm0085407	Lucas Black	1982	
nm0085438	Michael Ian Black	1971	
nm0085542	Todd Black	1960	
nm0085970	Christian Blackwood	1942	1992
nm0085997	Vas Blackwood	1962	
nm0086014	Richard Blade	1956	
nm0086051	Bob Blagden	1945	
nm0086198	Betsy Blair	1923	2009
nm0086205	Bre Blair	1980	
nm0086244	Eric Blair	1972	
nm0086282	Jon Blair	1950	
nm0086295	Les Blair	1941	
nm0086333	Rikki Beadle Blair	1961	
nm0086363	Tony Blair	1953	
nm0086553	Geoffrey Blake	1962	
nm0086574	Howard Blake	1938	
nm0086697	Rachael Blake	1971	
nm0086706	Robert Blake	1933	
nm0086826	Eric Blakeney	1959	
nm0086883	Jolene Blalock	1975	
nm0086924	Dominique Blanc	1956	
nm0086952	Manuel Blanc	1968	
nm0086998	Ken Blancato	1945	2021
nm0087109	Tammy Blanchard	1976	
nm0087450	Mark Blaney	1969	
nm0087500	Howard Blank	1965	
nm0087593	Billy Blanks	1955	
nm0087610	Richard Blanshard	1954	
nm0087646	Philippe Blasband	1964	
nm0087707	Matt Blashaw	1975	
nm0087828	Daniel H. Blatt	1937	2013
nm0087861	William Peter Blatty	1928	2017
nm0087904	Barry W. Blaustein	1955	
nm0087918	Christopher Blauvelt	1970	
nm0088098	Jonah Blechman	1975	
nm0088121	Jeff Bleckner	1943	
nm0088127	Alexis Bledel	1981	
nm0088147	Debra Blee	1958	
nm0088225	Troy Blendell	1970	
nm0088298	Corbin Bleu	1989	
nm0088324	Michael Blevins	1960	
nm0088373	John Blick	1945	
nm0088392	Michael Blieden	1971	
nm0088536	Thomas A. Bliss	1952	
nm0088575	Björn Blixt	1951	
nm0088747	Lawrence Block	1938	
nm0088780	David Blocker	1955	
nm0088793	Michael Blodgett	1939	2007
nm0088955	Neill Blomkamp	1979	
nm0089109	Richard Blood	1953	
nm0089122	Robert Bloodworth	1939	
nm0089141	Brian Bloom	1970	
nm0089177	Jeffrey Bloom	1945	
nm0089182	John Bloom	1935	
nm0089217	Orlando Bloom	1977	
nm0089231	Scott Bloom	1973	
nm0089333	Patrick Blossier	1949	
nm0089348	Roberts Blossom	1924	2011
nm0089408	Lisa Blount	1957	2010
nm0089456	Marc Blucas	1972	
nm0089485	Callum Blue	1977	
nm0089502	Albert Pyun	1953	2022
nm0089658	Jason Blum	1969	
nm0089676	Len Blum	1951	
nm0089685	Mark Blum	1950	2020
nm0089706	Stanford Blum	1940	
nm0089707	Steve Blum	1960	
nm0089720	Trevor Blumas	1984	
nm0089742	Stuart Blumberg	1969	
nm0089755	Judy Blume	1938	
nm0089772	Colin Blumenau	1956	
nm0089781	Alan Blumenfeld	1952	
nm0089815	Hank Blumenthal	1963	
nm0089887	Chris Blunden	1956	
nm0089937	Lothaire Bluteau	1957	
nm0089940	Don Bluth	1937	
nm0090013	David Blyth	1956	
nm0090066	Reggie Rock Bythewood	1965	
nm0090151	Jeffrey Boam	1946	2000
nm0090196	Lee Boardman	1972	
nm0090225	Michael Boatman	1964	
nm0090292	Roger M. Bobb	1967	
nm0090312	Sean Bobbitt	1958	
nm0090321	Anne Bobby	1967	
nm0090386	James Bobin	1972	
nm0090469	Barbora Bobulova	1974	
nm0090799	Michael Boddicker	1953	
nm0090854	Anders Bodelsen	1937	2021
nm0091056	Jean Bodon	1949	
nm0091074	Sergey Bodrov	1971	2002
nm0091076	Sergei Bodrov	1948	
nm0091396	Knut Boeser	1944	
nm0091515	Yurek Bogayevicz	1949	
nm0091517	José Bogalheiro	1950	
nm0091553	Andrea Bogart	1977	
nm0091650	Jon Bogdanove	1958	
nm0091667	Sashy Bogdanovich	1970	
nm0091668	Antonia Bogdanovich	1967	
nm0091686	Hagen Bogdanski	1965	
nm0091712	April Bogenschutz	1967	
nm0091802	Dimitris Bogiantzis	1960	
nm0091845	Jonathan Bogner	1963	
nm0091899	Eric Bogosian	1953	
nm0091927	Lou Bogue	1946	
nm0092018	Leslie Bohem	1951	
nm0092026	Ian Bohen	1976	
nm0092184	Richard Bohringer	1942	
nm0092188	Jean Boht	1932	
nm0092216	Big Boi	1975	
nm0092362	Julien Boisselier	1970	
nm0092575	Oliver Bokelberg	1964	
nm0092607	Jana Bokova	1948	
nm0092632	Carlos Bolado	1964	
nm0092639	James Bolam	1935	
nm0092774	Philip Bolden	1995	
nm0092789	Massimo Boldi	1945	
nm0092839	Nicolas Bolduc	1973	
nm0092858	Grzegorz Borek	1971	2009
nm0092961	Sarah Bolger	1991	
nm0093039	Bill Boll	1965	
nm0093051	Uwe Boll	1965	
nm0093147	Tiffany Bolling	1947	
nm0093151	Alun Bollinger	1948	
nm0093174	Ryan Bollman	1972	
nm0093271	Craig Bolotin	1954	
nm0093322	Ben Bolt	1952	
nm0093328	Tedi Sarafian	1966	
nm0093337	Jeremy Bolt	1965	
nm0093452	Tiffany Hendra	1971	
nm0093511	Lars Bom	1961	
nm0093560	Mark Bomback	1971	
nm0093587	David Bombyk	1952	1989
nm0093589	Matt Bomer	1977	
nm0093678	Paolo Bonacelli	1937	
nm0093680	Diego Bonacina	1943	1998
nm0093904	Christopher Bond	1945	
nm0093972	Julian Bond	1930	2012
nm0094037	Ruskin Bond	1934	
nm0094170	De'aundre Bonds	1976	
nm0094217	John T. Bone	1947	2019
nm0094274	Bertrand Bonello	1968	
nm0094288	Peter Bonerz	1938	
nm0094351	Massimo Bonetti	1951	
nm0094382	Marie-Luce Bonfanti	1943	
nm0094435	Bong Joon Ho	1969	
nm0094526	Alessio Boni	1966	
nm0094581	J. Evan Bonifant	1985	
nm0094659	Andrew Bonime	1948	
nm0094726	Pascal Bonitzer	1946	
nm0094782	Jacques Bonnaffé	1958	
nm0094789	Sandrine Bonnaire	1967	
nm0095013	Maria Bonnevie	1973	
nm0095017	Hugh Bonneville	1963	
nm0095089	Françoise Bonnot	1939	2018
nm0095104	Bono	1960	
nm0095176	Brian Bonsall	1981	
nm0095374	Brad Booker	1971	
nm0095460	Ed Boon	1964	
nm0095478	Mark Boone Junior	1955	
nm0095579	Telsche Boorman	1959	1996
nm0095601	H. Gordon Boos	1958	2004
nm0095641	Anthony Booth	1931	2017
nm0095653	Bronwen Booth	1964	
nm0095746	Kristin Booth	1974	
nm0095757	Martin Booth	1944	2004
nm0095919	Ekrem Bora	1932	2012
nm0096025	Donald P. Borchers	1956	
nm0096165	Steve Borden	1959	
nm0096435	Laurie Borg	1961	
nm0096598	Suzana Borges	1956	
nm0096608	Yamil Borges	1958	
nm0096813	Robert Boris	1945	
nm0096988	Matt Borlenghi	1967	
nm0097001	Moritz Borman	1955	
nm0097004	André Bormanis	1959	
nm0097077	Josephine Bornebusch	1981	
nm0097079	Ole Bornedal	1959	
nm0097379	Clay Borris	1950	
nm0097441	Marco Borsato	1966	
nm0097491	Phillip Borsos	1953	1995
nm0097529	Dave Borthwick	1947	2012
nm0097717	Simon Bosanquet	1948	
nm0097842	Philip Bosco	1930	2018
nm0097893	Rahul Bose	1967	
nm0097897	Samaresh Basu	1924	1988
nm0097992	John Boskovich	1956	2006
nm0098011	Randall Bosley	1947	
nm0098013	Todd Bosley	1984	
nm0098116	Malcolm Bosse	1926	2002
nm0098132	Dave Bossert	1960	
nm0098180	Barbara Bosson	1939	
nm0098357	Robert Boswell	1953	
nm0098372	Brian Bosworth	1965	
nm0098378	Kate Bosworth	1983	
nm0098382	Patricia Bosworth	1933	2020
nm0098517	Ian Botham	1955	
nm0098616	Michael Bott	1954	
nm0098709	Juan Diego Botto	1975	
nm0098733	Joseph Bottoms	1954	
nm0098734	Sam Bottoms	1955	2008
nm0098793	Sami Bouajila	1966	
nm0098919	Michel Marc Bouchard	1958	
nm0098953	Rachid Bouchareb	1959	
nm0099084	Patrick Bouchitey	1946	
nm0099131	Broselianda Hernández	1964	2020
nm0099326	Jean-Jacques Bouhon	1947	2017
nm0099371	Evelyne Bouix	1953	
nm0099378	Michel Boujenah	1952	
nm0099429	Daniel Boulanger	1922	2014
nm0099828	Didier Bourdon	1959	
nm0099841	Gilles Bourdos	1963	
nm0099953	Elizabeth Bourgine	1957	
nm0100098	Timothy M. Bourne	1954	
nm0100384	Duane Boutte	1966	
nm0100460	Koen De Bouw	1964	
nm0100522	Laurent Bouzereau	1962	
nm0100556	Raoul Bova	1971	
nm0100597	Andrew Bovell	1962	
nm0100650	Frédéric Bovis	1959	
nm0100736	Mark Bowden	1951	
nm0100765	John Bowe	1964	
nm0100866	Julie Bowen	1970	
nm0100889	Michael Bowen	1953	
nm0100904	Richard Bowen	1951	2021
nm0100928	T.R. Bowen	1942	
nm0101005	Tom Bower	1938	
nm0101055	George Bowers	1944	2012
nm0101198	Grant Bowler	1968	
nm0101242	Lauren Bowles	1970	
nm0101248	Peter Bowles	1936	2022
nm0101333	Jessica Bowman	1980	
nm0101385	Rob Bowman	1960	
nm0101427	Woody Brown	1956	
nm0101498	Harry C. Box	1962	
nm0101508	Steve Box	1967	
nm0101621	Alan Boyce	1961	
nm0101639	Frank Cottrell Boyce	1961	
nm0101710	Billy Boyd	1968	
nm0101750	Don Boyd	1948	
nm0101799	Jenna Boyd	1993	
nm0101801	F.X. Toole	1930	2002
nm0101956	William Boyd	1952	
nm0102177	Ari Boyland	1987	
nm0102185	Alan Boyle	1984	
nm0102204	Brian Boyle	1968	
nm0102278	Kazimir Boyle	1976	
nm0102288	Lisa Boyle	1964	
nm0102316	Peter Boyle	1946	
nm0102339	T. Coraghessan Boyle	1948	
nm0102403	Haldun Boysan	1958	2020
nm0102518	Marcel Bozonnet	1944	
nm0102622	James Brabazon	1923	2007
nm0102722	Gérard Brach	1927	2006
nm0102744	Diana Bracho	1944	
nm0102929	Reb Braddock	1965	
nm0103038	Jesse Bradford	1979	
nm0103071	Richard Bradford	1934	2016
nm0103195	David Bradley	1942	
nm0103196	David Bradley	1953	
nm0103364	Paul Bradley	1957	
nm0103457	Michael Bradsell	1933	
nm0103498	John Bradshaw	1952	
nm0103550	Graham Bradstreet	1952	
nm0103593	Christopher Brady	1967	
nm0103655	Jordan Brady	1964	
nm0103750	Wayne Brady	1972	
nm0103756	Don Edmonds	1937	2009
nm0103785	Zach Braff	1975	
nm0103797	Alice Braga	1983	
nm0103804	Brannon Braga	1965	
nm0103840	Regina Braga	1946	
nm0103891	Billy Bragg	1957	
nm0103936	Howard Bragman	1956	2023
nm0103956	Henry Braham	1965	
nm0103976	Brahmaji	1965	
nm0103977	Brahmanandam	1956	
nm0104096	Bob Bralver	1941	
nm0104129	Robert Brakey	1970	
nm0104193	Marco Brambilla	1960	
nm0104333	Chris Brancato	1962	
nm0104335	John Brancato	1958	
nm0104405	Isabel Branco	1952	
nm0104410	José Mário Branco	1942	2019
nm0104418	Paulo Branco	1950	
nm0104487	Larry Brand	1949	2019
nm0104526	Steven Brand	1969	
nm0104596	Otto Brandenburg	1934	2007
nm0104745	Clark Brandon	1958	
nm0104851	Charlotte Brändström	1959	
nm0104973	Michael Brandt	1968	
nm0104986	Percy Brandt	1922	2005
nm0105055	Ana Brandão	1971	
nm0105169	Ash Brannon	1969	
nm0105226	Jeff Branson	1977	
nm0105263	Peter Brant	1947	
nm0105280	Betsy Brantley	1955	
nm0105308	Ulf Brantås	1957	
nm0105317	Patrick Braoudé	1954	
nm0105571	Peter Bratt	1962	
nm0105672	Andre Braugher	1962	
nm0105693	Michel Brault	1928	2013
nm0105701	Sylvain Brault	1958	
nm0105860	Tamara Braun	1971	
nm0105881	Zev Braun	1928	2019
nm0105930	Martins Brauns	1951	2021
nm0105931	Andrew Braunsberg	1942	
nm0105945	George G. Braunstein	1947	
nm0106010	Amy Braverman	1984	
nm0106160	Lino Braxe	1962	
nm0106243	Peter Bray	1948	2007
nm0106455	Berkeley Breathed	1957	
nm0106456	Paddy Breathnach	1964	
nm0106534	Jonathan Breck	1965	
nm0106549	Laura Breckenridge	1983	
nm0106563	Andy Breckman	1955	
nm0106576	Anna Brecon	1971	
nm0106622	Don Bredes	1947	
nm0106736	Joe Breen	1990	
nm0106755	Patrick Breen	1960	
nm0106840	Martin Bregman	1926	2018
nm0106924	Catherine Breillat	1948	
nm0106982	Dennis Dreith	1948	
nm0107175	Julia Brendler	1975	
nm0107197	Shirly Brener	1974	
nm0107281	Eileen Brennan	1932	2013
nm0107302	Ian Brennan	1978	
nm0107322	John G. Brennan	1961	
nm0107385	Richard Brennan	1943	
nm0107447	Albert Brenner	1926	2022
nm0107463	David Brenner	1962	2022
nm0107486	Jules Brenner	1934	
nm0107493	Marie Brenner	1949	
nm0107524	Alan Brennert	1954	
nm0107664	Alfonso Brescia	1930	2001
nm0107748	Spencer Breslin	1992	
nm0107763	Tom Bresnahan	1965	
nm0107780	Gordon Bressack	1951	2019
nm0107852	David Bretherton	1924	2000
nm0107969	Simon Brett	1945	
nm0108028	Jim Breuer	1967	
nm0108094	Eric Brevig	1957	
nm0108132	Craig Brewer	1971	
nm0108150	Gene Brewer	1937	
nm0108287	Jordana Brewster	1980	
nm0108295	Paget Brewster	1969	
nm0108315	Maia Brewton	1977	
nm0108368	Larry Brezner	1942	2015
nm0108400	Jean-Claude Brialy	1933	2007
nm0108470	Shane Briant	1946	2021
nm0108613	Marshall Brickman	1939	
nm0108634	Leslie Bricusse	1931	2021
nm0108637	Jon Briddell	1966	
nm0108745	James Bridges	1936	1993
nm0109159	Kevin Bright	1954	
nm0109165	Matthew Bright	1952	
nm0109175	Richard Bright	1937	2006
nm0109208	Sarah Brightman	1960	
nm0109300	John Briley	1925	2019
nm0109329	Fran Brill	1946	
nm0109359	Steven Brill	1962	
nm0109401	Bernie Brillstein	1931	2008
nm0109485	Adrian Brine	1936	2016
nm0109517	Mark Bringelson	1957	
nm0109578	Chris Brinker	1970	2013
nm0109620	Ritch Brinkley	1944	2015
nm0109658	Robert Brinkmann	1961	
nm0109726	Jon Brion	1963	
nm0109773	David Brisbin	1952	
nm0109785	Brent Briscoe	1961	2017
nm0110133	Gerry O'Hara	1924	2023
nm0110168	Connie Britton	1967	
nm0110192	Jasper Britton	1962	
nm0110292	Fausto Brizzi	1968	
nm0110293	Gaëtan Brizzi	1951	
nm0110294	Paul Brizzi	1951	
nm0110300	Stéphane Brizé	1966	
nm0110334	Nicolas Bro	1972	
nm0110407	Philip Broadley	1922	2008
nm0110463	Michelle de Broca	1926	2017
nm0110483	Barbara Broccoli	1960	
nm0110491	Nicolai Cleve Broch	1975	
nm0110507	Anne Brochet	1966	
nm0110591	Jeremy Brock	1959	
nm0110654	Q. Allan Brocka	1972	
nm0110778	Kevin Brodbin	1964	
nm0110832	Patricia Broderick	1925	2003
nm0110903	Kevin Brodie	1952	
nm0111013	Adam Brody	1979	
nm0111225	Cary Brokaw	1951	
nm0111232	Tom Brokaw	1940	
nm0111274	Shane Brolly	1970	
nm0111376	Eleanor Bron	1938	
nm0111379	Jean-Stéphane Bron	1969	
nm0111429	Ellen Bronfman	1969	
nm0111534	Po Bronson	1965	
nm0111610	Claudio Brook	1927	1995
nm0111639	Kelly Brook	1979	
nm0111649	Michael Brook	1952	
nm0111656	Peter Brook	1925	2022
nm0111757	Moira Brooker	1957	
nm0111845	Adam Brooks	1956	
nm0111846	Aimee Brooks	1974	
nm0111944	David Allen Brooks	1947	
nm0112043	Jason Brooks	1966	
nm0112085	Katherine Brooks	1976	
nm0112150	Max Brooks	1972	
nm0112189	Paul Brooks	1959	
nm0112207	Randy Brooks	1950	
nm0112335	David Brookwell	1961	
nm0112370	Barney Broomfield	1981	
nm0112374	Nick Broomfield	1948	
nm0112431	Cloris Brosca	1957	
nm0112459	Aline Brosh McKenna	1967	
nm0112549	Johannes Brost	1946	2018
nm0112871	Ben Browder	1962	
nm0112932	Neil Brown Jr.	1980	
nm0113020	Andrew Brown	1938	1994
nm0113084	Barry Alexander Brown	1960	
nm0113119	Bill Brown	1969	
nm0113125	Bille Brown	1952	2013
nm0113325	D.W. Brown	1961	
nm0113536	Ernie Lively	1947	2021
nm0113583	G. Mac Brown	1957	
nm0113595	Garrett M. Brown	1948	
nm0113935	Julie Brown	1954	
nm0114008	Kenneth A. Brown	1979	
nm0114051	Larry Brown	1951	2004
nm0114080	Leigh Brown	1939	1998
nm0114256	Mel B	1975	
nm0114363	O. Nicholas Brown	1939	
nm0114370	Ollie E. Brown	1953	
nm0114430	Peter Vack	1986	
nm0114460	Ralph Brown	1957	
nm0114487	Reb Brown	1948	
nm0114522	Rita Mae Brown	1944	
nm0114532	Rob Brown	1984	
nm0114578	Roger Aaron Brown	1949	
nm0114595	Rosellen Brown	1939	
nm0114742	Susan Brown	1946	
nm0114769	Temple Brown	1973	
nm0114787	Thomas Wilson Brown	1972	
nm0114868	W. Earl Brown	1963	
nm0115069	Robin Browne	1941	
nm0115152	Chris Browning	1964	
nm0115161	Emily Browning	1988	
nm0115236	Mongo Brownlee	1971	
nm0115310	William Broyles Jr.	1944	
nm0115384	James D. Brubaker	1937	2023
nm0115499	Jack Bruce	1943	2014
nm0115557	Nichola Bruce	1953	
nm0115671	Agnes Bruckner	1985	
nm0115730	Patrick Bruel	1959	
nm0115764	Pieter Jan Brugge	1956	
nm0115863	Caridad 'La Bruja' De La Luz	1977	
nm0115956	Reinier van Brummelen	1961	
nm0116232	Dana Brunetti	1973	
nm0116254	Valeria Bruni Tedeschi	1964	
nm0116263	Francesco Bruni	1961	
nm0116339	Ulf Brunnberg	1947	
nm0116348	Alexander Yves Brunner	1973	
nm0116358	Bob Brunner	1934	2012
nm0116465	Dylan Bruno	1972	
nm0116483	Bruce Kirby	1925	2021
nm0116783	Joseph Brutsman	1960	
nm0116910	Brinton Bryan	1981	
nm0116932	Dora Bryan	1923	2014
nm0117022	Zachery Ty Bryan	1981	
nm0117029	Kenneth Bryans	1959	2017
nm0117092	Edward Bryant	1945	2017
nm0117145	Joshua Bryant	1940	
nm0117146	Joy Bryant	1974	
nm0117188	Michael Bryant	1928	2002
nm0117302	Scott Bryce	1958	
nm0117339	Rob Brydon	1965	
nm0117354	Lisa Bryer	1957	
nm0117368	Lars Brygmann	1957	
nm0117374	Greg Bryk	1972	
nm0117429	Reine Brynolfsson	1953	
nm0117445	Bill Bryson	1951	
nm0117648	Lene Brøndum	1947	
nm0117689	Dirk Brüel	1942	
nm0117709	Daniel Brühl	1978	
nm0117741	BT	1970	
nm0117779	Pasquale Buba	1946	2018
nm0117802	Alexander Bubenheim	1962	
nm0117826	Michael Bublé	1975	
nm0117865	Brian Buccellato	1970	
nm0118026	Jensen Buchanan	1962	
nm0118224	Peter Buchman	1967	
nm0118333	Chris Buck	1958	
nm0118568	A.J. Buckley	1977	
nm0118572	Anthony Buckley	1937	
nm0118729	Paul Buckmaster	1946	2017
nm0118894	Helen Buday	1962	
nm0118912	Harold Budd	1936	2020
nm0118983	Tom Budge	1982	
nm0119106	John Carl Buechler	1952	2019
nm0119144	Bill Buell	1952	
nm0119287	Jeanette B. Milio	1964	
nm0119322	Conrad Buff IV	1948	
nm0119364	Jimmy Buffett	1946	
nm0119405	Takashi Bufford	1952	
nm0119457	Umur Bugay	1941	2019
nm0119514	Vincent Bugliosi	1934	2015
nm0119653	José Buil	1953	
nm0119785	Bobby Bukowski	1953	
nm0120116	Jeremy Bulloch	1945	2020
nm0120270	Talat Bulut	1956	
nm0120390	John Bundrick	1948	
nm0120483	Edward Bunker	1933	2005
nm0120667	Paolo Buonvino	1968	
nm0120837	Peter Burchard	1921	2004
nm0120987	Ray Burdis	1958	
nm0121281	Don Burgess	1956	
nm0121404	Richard Burgi	1958	
nm0121431	Geoffrey Burgon	1941	2010
nm0121519	Zlatko Buric	1953	
nm0121559	Robert John Burke	1960	
nm0121605	Billy Burke	1966	
nm0121616	Bryan Burke	1986	
nm0121628	Charlotte Burke	1974	
nm0121643	Clem Burke	1954	
nm0121653	David J. Burke	1948	
nm0121708	James Burke	1936	
nm0121715	James Lee Burke	1936	
nm0121755	Kathy Burke	1964	
nm0121789	Martyn Burke	1952	
nm0121806	Michelle Burke	1970	
nm0121845	Robert Burke	1984	
nm0121895	Tom Burke	1981	
nm0122006	Jeff Burkhart	1949	2001
nm0122036	Dennis Burkley	1945	2013
nm0122058	Willis Burks II	1935	2010
nm0122195	Mark Burman	1964	
nm0122238	Leo Burmester	1944	2007
nm0122334	Alan Burnett	1949	
nm0122335	Allison Burnett	1958	
nm0122344	Charles Burnett	1944	
nm0122427	Rob Burnett	1962	
nm0122428	Robert Meyer Burnett	1967	
nm0122439	T Bone Burnett	1948	
nm0122567	Anthony Burns	1975	
nm0122653	Edward Burns	1968	
nm0122688	Heather Burns	1975	
nm0122716	Jere Burns	1954	
nm0122741	Ken Burns	1953	
nm0122767	Lisa Burns	1968	
nm0122769	Louise Burns	1968	
nm0122800	Michael Burns	1958	
nm0122841	Ralph Burris	1944	
nm0122967	Buronson	1947	
nm0123069	Jeff Burrell	1968	
nm0123079	Michael Burrell	1936	2014
nm0123092	Ty Burrell	1967	
nm0123120	Richard Burridge	1951	
nm0123135	Timothy Burrill	1931	
nm0123160	Nakia Burrise	1974	
nm0123174	Bryan Burrough	1961	
nm0123201	Jackie Burroughs	1939	2010
nm0123261	Darren E. Burrows	1966	
nm0123273	James Burrows	1940	
nm0123363	Dan Burstall	1951	
nm0123367	Alan B. Bursteen	1957	
nm0123379	Nanette Burstein	1970	
nm0123394	Thomas Burstyn	1954	
nm0123418	Clarissa Burt	1959	
nm0123433	George Burt	1929	2015
nm0123553	Corey Burton	1955	
nm0123587	Geoff Burton	1946	
nm0123593	Harry Burton	1961	
nm0123632	Kate Burton	1957	
nm0123643	Lance Burton	1960	
nm0123733	Steve Burton	1970	
nm0123785	Ben Burtt	1948	
nm0123958	Charles Busch	1954	
nm0124100	Billy Green Bush	1935	
nm0124107	Chuck Bush	1961	
nm0124117	Dick Bush	1931	1997
nm0124133	George W. Bush	1946	
nm0124208	Sophia Bush	1982	
nm0124299	Candace Bushnell	1958	
nm0124333	Akosua Busia	1966	
nm0124389	Manuel Busquets	1945	2019
nm0124450	Darcey Bussell	1969	
nm0124481	Pascale Bussières	1968	
nm0124832	Bill Butler	1921	
nm0124833	Bill Butler	1933	2017
